shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
5SH,19.3584201,-99.128714,99
5SH,19.35553128135714,-99.09925468793482,100
5SH,19.35607164031263,-99.0933091295726,101
5SH,19.356667183796883,-99.08774853395738,102
5SH,19.345351184759913,-99.06291530090978,103
5SH,19.344196551358035,-99.06126089176165,104
5SH,19.34681436481551,-99.06064256749765,105
5SH,19.353648218292374,-99.05898333875287,106
5SH,19.358717322359727,-99.05575583079926,107
5SH,19.358340294884336,-99.05404614037103,108
5SH,19.357733964568652,-99.05377301660423,109
5SH,19.356969884265556,-99.05369413651309,110
5SH,19.356344451329683,-99.05372341132292,111
5SH,19.351753459559475,-99.05359883353597,112
5SH,19.35166611730708,-99.0532052066511,113
5SH,19.351426364088265,-99.05203182060636,114
5SH,19.351379614061933,-99.05175721179967,115
5SH,19.35019651473177,-99.04491604781137,116
6SH,19.456983383982767,-99.04648686259512,117
6SH,19.45520373520192,-99.04766675558592,118
6SH,19.44954217137208,-99.06038079405343,119
6SH,19.44804355017791,-99.0729497250346,120
6SH,19.450841777747904,-99.07899663941626,121
6SH,19.450381110893623,-99.08080695887979,122
6SH,19.4437949,-99.09033529999999,123
6SH,19.438839274149636,-99.1091150151885,124
6SH,19.435224585642825,-99.10846049764929,125
6SH,19.429116339331237,-99.10427016345879,126
6SH,19.425913927106727,-99.10221386446302,127
7SH,19.4988239652107,-99.14885856467134,128
7SH,19.498227045450264,-99.14862575592672,129
7SH,19.496991556704117,-99.14814888078386,130
7SH,19.493600596987797,-99.14710390943951,131
7SH,19.493646686983823,-99.14730633726357,132
7SH,19.494429581066022,-99.15080715999342,133
7SH,19.49556231472999,-99.15165586454883,134
7SH,19.496545547852946,-99.15141624388457,135
7SH,19.498006536336327,-99.15139984310294,136
7SH,19.49803117049336,-99.15147875444627,137
7SH,19.49854598199065,-99.15313174303357,138
7SH,19.50042425745484,-99.15592913044762,139
7SH,19.501533413044477,-99.15633476179461,140
7SH,19.503368430272374,-99.15704180851608,141
7SH,19.506713086434605,-99.15840404352302,142
7SH,19.507349112294914,-99.15865046512766,143
7SH,19.5095928457795,-99.15951790430152,144
7SH,19.510114910582,-99.15972050037938,145
7SH,19.510713370438566,-99.1599524470186,146
7SH,19.51630603735529,-99.16216539504607,147
7SH,19.518299803021364,-99.16298170342628,148
7SH,19.51845059594247,-99.16306309434073,149
7SH,19.518925876510956,-99.16330884148644,150
7SH,19.525186502316327,-99.16741760232013,151
7SH,19.531240196237054,-99.17299162613877,152
7SH,19.54098653091864,-99.18194080631298,153
7SH,19.546427516884254,-99.18297100434471,154
7SH,19.547027817240686,-99.18310962396069,155
7SH,19.548237890277132,-99.18337720440478,156
7SH,19.55525524562146,-99.18504632160673,157
7SH,19.559271637754797,-99.18676435594759,158
7SH,19.565884842791156,-99.20572395510789,159
7SH,19.574607964513447,-99.20798992668672,160
7SH,19.5785941381684,-99.20653374483881,161
7SH,19.58447815436036,-99.20437803208709,162
7SH,19.586228280642164,-99.20363116850127,163
7SH,19.589424674764565,-99.20141187278561,164
7SH,19.597584582868276,-99.19486756455426,165
7SH,19.59920542385597,-99.18943703560068,166
7SH,19.60341005738125,-99.18870947227992,167
7SH,19.611734428487498,-99.19014056811832,168
7SH,19.615949081154774,-99.19075408662202,169
7SH,19.61645310047441,-99.1908271095029,170
7SH,19.621387206946682,-99.19166126633165,171
7SH,19.63031633298683,-99.19317495245859,172
7SH,19.640295653401672,-99.19480475543796,173
7SH,19.64231175792871,-99.1951760889507,174
7SH,19.644318440097052,-99.19548504322862,175
